33.5,8.75,33.75,8.75
33.25,7.75,33.25,8.25
31.75,8.25,31.75,7.75
13.75,8.75,14,8.25
14.5,8.25,14.75,8.75
18.25,8.75,18.5,8.25
19,8.25,19.25,8.75
19,8.25,18.5,8.25
14.5,8.25,14,8.25
5,0.25,4.75,0.75
2.25,0.75,2,0.25
0.25,0.25,2,0.25
2.25,0.75,4.75,0.75
27.25,18.75,27.75,18.75
29.25,18.75,28.75,18.75
27.75,18.75,27.75,19.75
29.25,14.75,30.25,14.75
29.25,15.25,29.25,14.75
6.75,-0.25,6.75,-1.25
31.25,7.75,31.25,6.25
33.75,7.75,33.75,6.25
37.75,15.75,41.25,15.75
37.75,18.25,41.25,18.25
41.25,18.25,41.25,18.75
41.25,18.75,40.25,18.75
40.25,18.75,40.25,22.75
40.25,22.75,39.75,22.75
39.75,22.75,39.75,24.75
39.75,24.75,41.25,24.75
42.75,24.75,45.75,24.75
47.25,24.75,50.25,24.75
51.75,24.75,54.75,24.75
56.25,24.75,58.75,24.75
58.75,24.75,58.75,25.25
58.75,25.25,61.25,25.25
62.75,25.25,65.25,25.25
65.25,25.25,65.25,22.75
65.25,21.25,65.25,18.75
65.25,18.75,62.75,18.75
62.75,18.75,62.75,18.25
62.75,18.25,64.75,18.25
42.25,18.75,42.25,18.25
42.25,18.25,45.75,18.25
45.75,18.25,45.75,18.75
45.75,18.75,42.25,18.75
46.75,18.75,46.75,18.25
46.75,18.25,50.25,18.25
50.25,18.25,50.25,18.75
50.25,18.75,46.75,18.75
51.25,18.75,51.25,18.25
51.25,18.75,54.75,18.75
54.75,18.75,54.75,18.25
54.75,18.25,51.25,18.25
55.75,18.75,55.75,18.25
55.75,18.75,57.25,18.75
57.25,18.75,57.25,19.25
57.25,19.25,58.75,19.25
58.75,19.25,58.75,18.75
58.75,18.75,60.75,18.75
60.75,18.75,60.75,18.25
60.75,18.25,55.75,18.25
47.75,20.75,47.75,22.75
47.75,22.75,49.25,22.75
49.25,22.75,49.25,20.75
49.25,20.75,47.75,20.75
41.25,18.5,41.25,19.5
45.75,18.5,45.75,19.5
50.25,18.5,50.25,19.5
54.75,18.5,54.75,19.5
60.75,18.5,60.75,19.5
62.75,18.5,62.75,19.5
41.25,24.75,41.5,25.25
42.5,25.25,42.75,24.75
42.5,25.25,41.5,25.25
45.75,24.75,46,25.25
47.25,24.75,47,25.25
47,25.25,46,25.25
50.25,24.75,50.5,25.25
